Date,High,Low,Open,Close,Volume,Adj Close
2021-02-12,10.399999618530273,10.079999923706055,10.399999618530273,10.149999618530273,622600,10.149999618530273
2021-02-16,10.25,10.100000381469727,10.149999618530273,10.170000076293945,375100,10.170000076293945
2021-02-17,10.1899995803833,10.149999618530273,10.1899995803833,10.149999618530273,349200,10.149999618530273
2021-02-18,10.3100004196167,10.149999618530273,10.149999618530273,10.210000038146973,111800,10.210000038146973
2021-02-19,10.369999885559082,10.199999809265137,10.279999732971191,10.239999771118164,265800,10.239999771118164
2021-02-22,10.289999961853027,10.180000305175781,10.289999961853027,10.199999809265137,111200,10.199999809265137
2021-02-23,10.25,10.109999656677246,10.170000076293945,10.180000305175781,126800,10.180000305175781
2021-02-24,10.420000076293945,10.149999618530273,10.180000305175781,10.369999885559082,219500,10.369999885559082
2021-02-25,10.390000343322754,10.180000305175781,10.305000305175781,10.220000267028809,70300,10.220000267028809
2021-02-26,10.25,10.09000015258789,10.25,10.210000038146973,128900,10.210000038146973
2021-03-01,10.260000228881836,10.119999885559082,10.260000228881836,10.130000114440918,31200,10.130000114440918
2021-03-02,10.140000343322754,10.0600004196167,10.130000114440918,10.100000381469727,115800,10.100000381469727
2021-03-03,10.130000114440918,9.90999984741211,10.130000114440918,10.0,105500,10.0
2021-03-04,10.039999961853027,9.949999809265137,10.039999961853027,9.979999542236328,107400,9.979999542236328
2021-03-05,10.079999923706055,9.8100004196167,10.079999923706055,9.920000076293945,128000,9.920000076293945
2021-03-08,10.039999961853027,9.850000381469727,9.960000038146973,9.869999885559082,122300,9.869999885559082
2021-03-09,9.920000076293945,9.869999885559082,9.899999618530273,9.90999984741211,15200,9.90999984741211
2021-03-10,9.920000076293945,9.829999923706055,9.899999618530273,9.920000076293945,176700,9.920000076293945
2021-03-11,9.920000076293945,9.880000114440918,9.880000114440918,9.920000076293945,13300,9.920000076293945
2021-03-12,9.9399995803833,9.850000381469727,9.899999618530273,9.899999618530273,262500,9.899999618530273
2021-03-15,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,9.899999618530273
2021-03-16,9.859999656677246,9.850000381469727,9.859999656677246,9.859999656677246,25900,9.859999656677246
2021-03-17,9.90999984741211,9.800000190734863,9.90999984741211,9.850000381469727,79700,9.850000381469727
2021-03-18,9.869999885559082,9.800000190734863,9.850000381469727,9.859999656677246,153600,9.859999656677246
2021-03-19,9.859999656677246,9.800000190734863,9.819999694824219,9.800000190734863,6400,9.800000190734863
2021-03-22,9.850000381469727,9.800000190734863,9.800000190734863,9.829999923706055,8200,9.829999923706055
2021-03-23,9.835000038146973,9.699999809265137,9.800000190734863,9.770000457763672,111200,9.770000457763672
2021-03-24,9.710000038146973,9.630000114440918,9.710000038146973,9.65999984741211,138200,9.65999984741211
2021-03-25,9.680000305175781,9.609999656677246,9.609999656677246,9.680000305175781,16200,9.680000305175781
2021-03-26,9.800000190734863,9.649999618530273,9.6899995803833,9.770000457763672,26300,9.770000457763672
2021-03-29,9.755000114440918,9.609999656677246,9.699999809265137,9.699999809265137,5300,9.699999809265137
2021-03-30,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,300,9.829999923706055
2021-03-31,10.100000381469727,9.670000076293945,9.725000381469727,9.890000343322754,418600,9.890000343322754
2021-04-01,9.979999542236328,9.817999839782715,9.979999542236328,9.880000114440918,42000,9.880000114440918
2021-04-05,9.9399995803833,9.829999923706055,9.9399995803833,9.850000381469727,84700,9.850000381469727
2021-04-06,9.885000228881836,9.829999923706055,9.850000381469727,9.829999923706055,85300,9.829999923706055
2021-04-07,9.829999923706055,9.779999732971191,9.829999923706055,9.779999732971191,15900,9.779999732971191
2021-04-08,9.930000305175781,9.800000190734863,9.800000190734863,9.930000305175781,26100,9.930000305175781
2021-04-09,9.9350004196167,9.850000381469727,9.871999740600586,9.930000305175781,41300,9.930000305175781
2021-04-12,9.864999771118164,9.760000228881836,9.864999771118164,9.835000038146973,1800,9.835000038146973
2021-04-13,9.904999732971191,9.850000381469727,9.850000381469727,9.904999732971191,25600,9.904999732971191
2021-04-14,9.899999618530273,9.850000381469727,9.859999656677246,9.899999618530273,3600,9.899999618530273
2021-04-15,9.9399995803833,9.859999656677246,9.871000289916992,9.859999656677246,8800,9.859999656677246
2021-04-16,9.869999885559082,9.8100004196167,9.850000381469727,9.859999656677246,7800,9.859999656677246
2021-04-19,9.850000381469727,9.800000190734863,9.8100004196167,9.850000381469727,16400,9.850000381469727
2021-04-20,9.850000381469727,9.850000381469727,9.8100004196167,9.850000381469727,3,9.850000381469727
