Date,High,Low,Open,Close,Volume,Adj Close
2020-02-25,1.350000023841858,1.2300000190734863,1.350000023841858,1.2599999904632568,1376300,1.2599999904632568
2020-02-26,1.25,1.1799999475479126,1.2400000095367432,1.2450000047683716,1419700,1.2450000047683716
2020-02-27,1.2799999713897705,1.128999948501587,1.2000000476837158,1.2300000190734863,1555900,1.2300000190734863
2020-02-28,1.190000057220459,1.1200000047683716,1.149999976158142,1.1399999856948853,1237100,1.1399999856948853
2020-03-02,1.2100000381469727,1.1299999952316284,1.159999966621399,1.1799999475479126,810600,1.1799999475479126
2020-03-03,1.190000057220459,1.1200000047683716,1.1799999475479126,1.1399999856948853,751300,1.1399999856948853
2020-03-04,1.1699999570846558,1.1299999952316284,1.159999966621399,1.1649999618530273,530700,1.1649999618530273
2020-03-05,1.3300000429153442,1.2200000286102295,1.25,1.2799999713897705,2785100,1.2799999713897705
2020-03-06,1.340000033378601,1.159999966621399,1.2899999618530273,1.2699999809265137,1437700,1.2699999809265137
2020-03-09,1.1200000047683716,1.0199999809265137,1.0800000429153442,1.0800000429153442,1378500,1.0800000429153442
2020-03-10,1.1399999856948853,1.0399999618530273,1.1299999952316284,1.0700000524520874,776300,1.0700000524520874
2020-03-11,1.0800000429153442,0.9900000095367432,1.0399999618530273,1.0099999904632568,1065500,1.0099999904632568
2020-03-12,0.7770000100135803,0.5299999713897705,0.75,0.7279999852180481,1826700,0.7279999852180481
2020-03-13,0.800000011920929,0.6499999761581421,0.7799999713897705,0.7200000286102295,1138300,0.7200000286102295
2020-03-16,0.699999988079071,0.6000000238418579,0.6100000143051147,0.6579999923706055,936800,0.6579999923706055
2020-03-17,0.800000011920929,0.6309999823570251,0.699999988079071,0.7480000257492065,674700,0.7480000257492065
2020-03-18,0.7400000095367432,0.5109999775886536,0.7400000095367432,0.6499999761581421,1454800,0.6499999761581421
2020-03-19,0.7300000190734863,0.6499999761581421,0.699999988079071,0.703000009059906,840100,0.703000009059906
2020-03-20,0.7599999904632568,0.6899999976158142,0.7559999823570251,0.7049999833106995,592900,0.7049999833106995
2020-03-23,0.7300000190734863,0.6299999952316284,0.7139999866485596,0.6690000295639038,565600,0.6690000295639038
2020-03-24,0.8299999833106995,0.7350000143051147,0.7350000143051147,0.7979999780654907,1173800,0.7979999780654907
2020-03-25,0.8399999737739563,0.7350000143051147,0.75,0.7730000019073486,719100,0.7730000019073486
2020-03-26,0.9300000071525574,0.7599999904632568,0.8199999928474426,0.8159999847412109,1238000,0.8159999847412109
2020-03-27,0.8299999833106995,0.7799999713897705,0.800000011920929,0.7889999747276306,364600,0.7889999747276306
2020-03-30,0.8500000238418579,0.7799999713897705,0.8069999814033508,0.7919999957084656,506900,0.7919999957084656
2020-03-31,0.8600000143051147,0.7900000214576721,0.8299999833106995,0.8330000042915344,354400,0.8330000042915344
2020-04-01,0.8460000157356262,0.7599999904632568,0.8299999833106995,0.7730000019073486,524600,0.7730000019073486
